file	line	bytes	tag	action	reason
scripts/check-browser.mjs	1	64	CONTRACT	keep	tool directive; kept
scripts/check-browser.mjs	3	5553	CONTRACT	rewrite	usage and observation boundary kept; audit story, tool choice and dev-server measurement moved
scripts/check-browser.mjs	110	156	WHY	rewrite	trimmed
scripts/check-browser.mjs	116	317	WHY	rewrite	trimmed
scripts/check-browser.mjs	135	648	WHY	rewrite	placement reason kept; 2026-09-03 measurement moved
scripts/check-browser.mjs	150	762	WHY	rewrite	purpose and gitignore reason kept; 2026-08-31 measurement moved
scripts/check-browser.mjs	166	945	CONTRACT	rewrite	two modes kept; narrative moved
scripts/check-browser.mjs	185	59	WHY	keep	already one line
scripts/check-browser.mjs	189	2730	WHY	rewrite	no-fake prohibition and cookie-name trap kept; three-session and 2026-08-21 story moved
scripts/check-browser.mjs	241	446	CONTRACT	rewrite	trimmed
scripts/check-browser.mjs	254	49	CONTRACT	keep	type annotation only; kept
scripts/check-browser.mjs	270	638	CONTRACT	rewrite	never-print-values rule kept
scripts/check-browser.mjs	289	581	WHY	rewrite	ordering reason kept; plant story moved
scripts/check-browser.mjs	310	73	WHY	keep	already one line
scripts/check-browser.mjs	325	753	WHY	rewrite	redaction reason kept; plant story moved
scripts/check-browser.mjs	339	21	CONTRACT	keep	type annotation only; kept
scripts/check-browser.mjs	362	361	WHY	rewrite	trimmed
scripts/check-browser.mjs	375	623	WHY	rewrite	trimmed
scripts/check-browser.mjs	390	1452	CONTRACT	rewrite	states and never-print kept; dated narrative moved
scripts/check-browser.mjs	419	85	WHY	keep	already one line
scripts/check-browser.mjs	439	77	WHY	keep	already one line
scripts/check-browser.mjs	442	380	WHY	rewrite	trimmed
scripts/check-browser.mjs	455	709	WHY	rewrite	jar-over-header reason kept; navigation counts moved
scripts/check-browser.mjs	482	639	WHY	rewrite	trimmed; counts moved
scripts/check-browser.mjs	499	159	CONTRACT	keep	already short
scripts/check-browser.mjs	510	413	CONTRACT	rewrite	trimmed
scripts/check-browser.mjs	531	464	WHY	rewrite	trimmed
scripts/check-browser.mjs	545	107	CONTRACT	keep	already short
scripts/check-browser.mjs	579	404	WHY	rewrite	trimmed
scripts/check-browser.mjs	589	216	CONTRACT	rewrite	trimmed
scripts/check-browser.mjs	597	80	CONTRACT	keep	type annotation only; kept
scripts/check-browser.mjs	606	897	CONTRACT	rewrite	fail-soft reason kept; 2026-09-14 rename incident moved
scripts/check-browser.mjs	640	48	CONTRACT	keep	type annotation only; kept
scripts/check-browser.mjs	646	369	CONTRACT	rewrite	trimmed
scripts/check-browser.mjs	660	78	CONTRACT	keep	section divider
scripts/check-browser.mjs	664	767	WHY	rewrite	reporting and never-kill-a-stranger rules kept
scripts/check-browser.mjs	688	2428	WHY	rewrite	kill-only-on-needle rule kept; 2026-09-03 measurements and strictPort story moved
scripts/check-browser.mjs	735	228	WHY	rewrite	trimmed to one line
scripts/check-browser.mjs	743	49	CONTRACT	keep	type annotation only; kept
scripts/check-browser.mjs	772	487	WHY	rewrite	trimmed
scripts/check-browser.mjs	799	540	WHY	rewrite	trimmed; 2026-08-31 measurement moved
scripts/check-browser.mjs	811	299	WHY	rewrite	trimmed; timing moved
scripts/check-browser.mjs	820	231	WHY	rewrite	trimmed
scripts/check-browser.mjs	832	215	WHY	rewrite	trimmed
scripts/check-browser.mjs	851	216	WHY	rewrite	trimmed
scripts/check-browser.mjs	857	1704	WHY	rewrite	purpose and hand-written reason kept; item H2 narrative moved
scripts/check-browser.mjs	891	80	CONTRACT	keep	already one line
scripts/check-browser.mjs	893	72	WHY	keep	already one line
scripts/check-browser.mjs	895	80	CONTRACT	keep	already one line
scripts/check-browser.mjs	898	82	NUMBER	keep	asserted by the seed count check
scripts/check-browser.mjs	902	210	WHY	rewrite	trimmed
scripts/check-browser.mjs	921	772	WHY	rewrite	trap kept; learning story moved
scripts/check-browser.mjs	949	2127	WHY	rewrite	preview-door reason, hard rule 7 and --file reason kept; narrative moved
scripts/check-browser.mjs	991	388	WHY	rewrite	trimmed
scripts/check-browser.mjs	1000	82	WHY	keep	already one line
scripts/check-browser.mjs	1003	79	WHY	keep	already one line
scripts/check-browser.mjs	1010	18	CONTRACT	keep	type annotation only; kept
scripts/check-browser.mjs	1012	234	WHY	rewrite	trimmed
scripts/check-browser.mjs	1034	65	WHY	keep	already one line
scripts/check-browser.mjs	1035	22	CONTRACT	keep	type annotation only; kept
scripts/check-browser.mjs	1077	338	WHY	rewrite	trimmed
scripts/check-browser.mjs	1105	699	WHY	rewrite	purpose kept; 2026-08-24 story moved
scripts/check-browser.mjs	1118	23	CONTRACT	keep	type annotation only; kept
scripts/check-browser.mjs	1121	29	CONTRACT	keep	type annotation only; kept
scripts/check-browser.mjs	1131	876	WHY	rewrite	trap kept; 2026-09-03 measurement moved
