file	line	bytes	tag	action	reason
scripts/check-policy.mjs	1	983	CONTRACT	rewrite	the boundary and the paired-negative rule kept; the restatement of both, cut
scripts/check-policy.mjs	39	65	CONTRACT	keep	one line already; kept
scripts/check-policy.mjs	43	23	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	46	88	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	58	74	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	75	51	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	85	66	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	101	20	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	102	20	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	103	20	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	105	77	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-policy.mjs	116	164	WHY	rewrite	the state the policy exists to tell apart, in one line
scripts/check-policy.mjs	124	77	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-policy.mjs	144	78	WHY	keep	one line already; kept
scripts/check-policy.mjs	152	76	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-policy.mjs	166	201	WHY	rewrite	the forgery case in one line: the prior file is the only thing consulted
scripts/check-policy.mjs	191	65	WHY	keep	one line already; kept
scripts/check-policy.mjs	220	77	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-policy.mjs	229	77	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-policy.mjs	231	873	CONTRACT	rewrite	the claim, its two instruments and the N-1-of-N reason; the tabulated restatement cut
scripts/check-policy.mjs	249	396	WHY	rewrite	the drift prohibition alone
scripts/check-policy.mjs	271	144	WHY	keep	zero-scope class, cites hard rule 10; two lines already
scripts/check-policy.mjs	278	28	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	285	284	WHY	rewrite	the refusal must be the one that is true of the actor
scripts/check-policy.mjs	302	381	WHY	rewrite	iterate rather than name, so a fourth capability cannot pass unexamined
scripts/check-policy.mjs	317	242	WHY	rewrite	the unfailable-condition trap in one line
scripts/check-policy.mjs	327	62	WHY	keep	one line already; kept
scripts/check-policy.mjs	335	559	WHY	rewrite	the proximity-needle prohibition; the date it was recorded goes to Capsid
scripts/check-policy.mjs	350	818	WHY	rewrite	an import is a mention not a use; the story of catching it, cut
scripts/check-policy.mjs	372	76	WHY	keep	one line already; kept
scripts/check-policy.mjs	389	224	WHY	rewrite	both zero-scope arms in two lines
scripts/check-policy.mjs	405	286	WHY	rewrite	what a denylist lets through
scripts/check-policy.mjs	417	229	WHY	rewrite	a 403 that lies
scripts/check-policy.mjs	426	1152	WHY	rewrite	why both files are named rather than one excluded
scripts/check-policy.mjs	446	23	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	448	21	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	462	136	WHY	keep	zero-scope arm; two lines already
scripts/check-policy.mjs	476	1874	WHY	rewrite	the unbounded-window trap and fail-closed; the plant and its date to Capsid
scripts/check-policy.mjs	508	23	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	518	143	CONTRACT	keep	how a body's end is found here; two lines already
scripts/check-policy.mjs	540	129	WHY	keep	zero-scope arm; two lines already
scripts/check-policy.mjs	550	77	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-policy.mjs	561	73	WHY	keep	one line already; kept
scripts/check-policy.mjs	572	78	WHY	keep	one line already; kept
scripts/check-policy.mjs	579	157	WHY	keep	the lockout this prevents; two lines already
scripts/check-policy.mjs	590	669	CONTRACT	rewrite	the two cases state cannot tell apart, in two lines
scripts/check-policy.mjs	603	46	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	630	226	WHY	rewrite	the ceremony performed twice, in two lines
scripts/check-policy.mjs	642	76	WHY	keep	one line already; kept
scripts/check-policy.mjs	661	65	WHY	keep	one line already; kept
scripts/check-policy.mjs	673	190	CONTRACT	rewrite	boxed heading, rule padding cut
scripts/check-policy.mjs	677	644	WHY	rewrite	least privilege and the real-module rule; the date and the narrative cut
scripts/check-policy.mjs	699	315	WHY	rewrite	the property is the pair
scripts/check-policy.mjs	705	20	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	721	273	WHY	rewrite	the predicate passing is not the call site asking
scripts/check-policy.mjs	741	220	WHY	rewrite	the slug-probing leak a late guard leaves open
scripts/check-policy.mjs	750	750	WHY	rewrite	why the method is the only defensible line
scripts/check-policy.mjs	772	283	WHY	rewrite	why absence and a file-wide mention both pass on a defect
scripts/check-policy.mjs	784	201	WHY	rewrite	what a restored loader would bill on
scripts/check-policy.mjs	801	950	WHY	rewrite	the attack and why order is the assertion
scripts/check-policy.mjs	837	1663	WHY	rewrite	hard rule 19's chain, why position beats presence, and the stated exclusion
scripts/check-policy.mjs	904	981	WHY	rewrite	the measured framework boundary and the four routes it leaves; the rename story cut
scripts/check-policy.mjs	941	307	WHY	rewrite	the exemption hard rule 9 requires, and that it is the easiest thing to tighten by accident
scripts/check-policy.mjs	958	1044	WHY	rewrite	the work an unauthenticated caller can ask for, and the boundary
scripts/check-policy.mjs	992	374	WHY	rewrite	either half alone passes on metering both or neither
scripts/check-policy.mjs	1010	1040	WHY	rewrite	the raw-text escape, the no-hand-list rule and the stated exclusion
scripts/check-policy.mjs	1031	23	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	1038	71	CONTRACT	keep	one line already; kept
scripts/check-policy.mjs	1056	981	WHY	rewrite	why an offline half exists beside a stronger wire case that skips
scripts/check-policy.mjs	1096	1030	WHY	rewrite	the same offline-half argument, and each property asserted by its mechanism
scripts/check-policy.mjs	1141	243	WHY	rewrite	why the two rejected spellings are rejected
scripts/check-policy.mjs	1157	248	WHY	rewrite	assert the behaviour, not the comment claiming it
scripts/check-policy.mjs	1178	80	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-policy.mjs	1180	907	WHY	rewrite	why the index fell behind, and what position plus failure-path buys; the measurement to Capsid
scripts/check-policy.mjs	1219	211	WHY	rewrite	why the upload runs last
scripts/check-policy.mjs	1235	239	WHY	rewrite	a discarded result cannot fail
scripts/check-policy.mjs	1245	794	WHY	rewrite	the window-around-an-anchor class; the plant and its date cut
scripts/check-policy.mjs	1271	205	WHY	rewrite	why the version has to print first
scripts/check-policy.mjs	1284	955	WHY	rewrite	what five 200s are blind to, and why position is the assertion
scripts/check-policy.mjs	1321	601	WHY	rewrite	read the verdict from the body and act on it; why the decision is its own module
scripts/check-policy.mjs	1341	206	WHY	rewrite	what stops the step passing against the wrong URL
scripts/check-policy.mjs	1357	389	WHY	rewrite	both halves and what each alone costs; the dated deadlock to Capsid
scripts/check-policy.mjs	1364	534	HISTORY	delete	which ruling pinned which shape and that the meaning is unchanged; the code below states the shape
scripts/check-policy.mjs	1375	207	WHY	rewrite	enumerate, because one name passes on a table that lost the others
scripts/check-policy.mjs	1383	291	WHY	rewrite	the needle's correctness, not the code's
scripts/check-policy.mjs	1391	220	WHY	rewrite	the value is the test for whether a fourth check belongs
scripts/check-policy.mjs	1411	228	WHY	rewrite	existence would sit before the sync and be the deadlock again
scripts/check-policy.mjs	1429	466	WHY	rewrite	the N-1-of-N prohibition; the date it was added goes to Capsid
scripts/check-policy.mjs	1448	255	WHY	rewrite	rule 18's repair path, and what a hand-written row makes the index
scripts/check-policy.mjs	1459	232	WHY	rewrite	a rebuild's own counters are not a verdict
scripts/check-policy.mjs	1490	81	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-policy.mjs	1492	1765	WHY	rewrite	the failure mode on each side, and why the value is a policy question check:config cannot answer
scripts/check-policy.mjs	1527	78	CONTRACT	keep	one line already; kept
scripts/check-policy.mjs	1535	185	WHY	rewrite	absent rather than false, and why writing it would be a second owner
scripts/check-policy.mjs	1547	723	CONTRACT	rewrite	why Ask cannot filter at query time; the dated leak goes to Capsid
scripts/check-policy.mjs	1564	60	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	1583	194	WHY	rewrite	the silent-leak case in two lines
scripts/check-policy.mjs	1592	149	WHY	keep	read the shipped module rather than restating; two lines already
scripts/check-policy.mjs	1603	756	WHY	rewrite	the comment-satisfied anchor; the stale limit corrected to the shared tokenizer
scripts/check-policy.mjs	1617	1029	HISTORY	delete	the plant proving trailing comments were unstripped, and a stripper inventory the shared tokenizer ended
scripts/check-policy.mjs	1639	499	WHY	rewrite	the guard's job; the dated ratio measurement goes to Capsid
scripts/check-policy.mjs	1652	584	WHY	rewrite	the binding this gate owns, and the shape that leaks if either half goes
scripts/check-policy.mjs	1685	798	WHY	rewrite	compose rather than restate, and why the scope is the function body
scripts/check-policy.mjs	1736	593	WHY	rewrite	the property that moved with the mechanism; the round-trip measurement to Capsid
scripts/check-policy.mjs	1747	21	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	1747	21	CONTRACT	keep	type annotation only; kept
scripts/check-policy.mjs	1750	132	CONTRACT	keep	where a top-level function ends here; two lines already
scripts/check-policy.mjs	1756	1084	WHY	rewrite	assert the binding, never one spelling of one line; the re-scoping story to Capsid
scripts/check-policy.mjs	1778	152	WHY	keep	both zero-scope arms; two lines already
scripts/check-policy.mjs	1788	896	WHY	rewrite	the half that keeps a widening honest; the dated widening to Capsid
scripts/check-policy.mjs	1818	345	WHY	rewrite	the half a whole-line needle got for free
scripts/check-policy.mjs	1835	562	WHY	rewrite	a neighbour composing the same predicate satisfies a character window; the plant story cut
scripts/check-policy.mjs	1847	330	WHY	rewrite	both zero-scope arms in two lines
scripts/check-policy.mjs	1877	77	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-policy.mjs	1879	3316	NUMBER	rewrite	the floor is asserted on the line below; the seven dated re-measurements go to Capsid
scripts/check-headers.mjs	1	2256	CONTRACT	rewrite	the boundary, the two-sources design and the fail-closed rule; the CI aside and the restatement cut
scripts/check-headers.mjs	59	120	CONTRACT	keep	type annotation plus the not-read-from-source rule; two lines already
scripts/check-headers.mjs	78	80	CONTRACT	keep	type annotation only; kept
scripts/check-headers.mjs	94	390	WHY	rewrite	the prose trap in one line
scripts/check-headers.mjs	101	93	CONTRACT	keep	one line already; kept
scripts/check-headers.mjs	106	79	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-headers.mjs	115	37	CONTRACT	keep	type annotation only; kept
scripts/check-headers.mjs	134	79	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-headers.mjs	156	68	WHY	keep	one line already; kept
scripts/check-headers.mjs	165	80	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-headers.mjs	167	239	WHY	rewrite	why these two get named assertions
scripts/check-headers.mjs	185	79	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-headers.mjs	187	353	WHY	rewrite	declaring and applying are different; the live example kept
scripts/check-headers.mjs	213	80	CONTRACT	rewrite	section marker, rule padding cut
scripts/check-headers.mjs	215	1271	WHY	rewrite	the auth bypass and hard rule 8's cached silence; the dated audit goes to Capsid
scripts/check-headers.mjs	256	112	CONTRACT	keep	what the needle matches; two lines already
scripts/check-headers.mjs	266	138	WHY	keep	a guard that reads as protection; two lines already
