sheet	line	bytes	tag	reason
app/styles/reset.css	1	2248	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	45	132	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	61	283	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	77	161	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	88	66	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	94	59	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	105	68	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	112	53	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	118	88	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	130	48	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	135	77	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	152	193	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	163	68	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	168	63	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	173	51	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	178	37	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	185	138	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	201	79	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	208	204	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	230	34	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	235	26	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	240	33	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	245	55	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	250	173	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	261	57	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	266	61	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	271	158	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	280	77	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	285	69	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	302	71	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	307	55	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	312	69	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	319	76	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	325	558	CUT	vendored preflight annotation, upstream browser-bug note
app/styles/reset.css	340	926	CUT	vendored preflight annotation, upstream browser-bug note
app/app.css	3	3439	KEEP	why Inter is self-hosted; request count before and after
app/app.css	63	2040	KEEP	measured CLS 0.0674, one shift, single-variable
app/app.css	112	1071	KEEP	ruled: the italic is kept and costs 79,716 bytes
app/app.css	143	3168	KEEP	the metric-adjusted fallback and the measurement behind it
app/app.css	213	1735	KEEP	serif axes read out of the binary rather than claimed
app/app.css	255	3209	KEEP	measured 2026-09-13 with the method; records two wrong readings
app/app.css	324	844	KEEP	why the stacks are a plain :root block and not @theme
app/app.css	340	2290	KEEP	measured 24 declarations, 14 values, three one apart
app/app.css	398	942	KEEP	the z-index trap: NOT --z-dropdown, with the three layers
app/app.css	419	285	KEEP	why Inter Fallback sits between the face and the generics
app/app.css	425	231	KEEP	why the mono stack became a token: a fourth copy would drift
app/app.css	429	346	KEEP	prohibition: the serif sets headings 32px and up and nothing else
app/app.css	437	335	KEEP	one owner; why it is not in the colour blocks
app/app.css	445	2269	KEEP	why five properties and not a font shorthand
app/app.css	488	211	KEEP	why 420 rather than 400 on limestone
app/app.css	497	64	CUT	bare consumer list, no rule
app/app.css	504	267	KEEP	weight 600 not 560; the later step wins
app/app.css	515	321	KEEP	no leading token, and why a member with no reader is not a hole
app/app.css	526	122	KEEP	why this is the last Inter level
app/app.css	534	210	KEEP	the serif floor: 2rem fixed, never fluid, with the reason
app/app.css	543	103	KEEP	measured: lands on exactly 2rem at 375
app/app.css	551	70	KEEP	measured 2rem at 375, 3.25rem at 1280
app/app.css	558	300	KEEP	tracking is not one of the five; why no zero token
app/app.css	566	928	KEEP	why the strong nav weight is one form now and was two
app/app.css	583	144	KEEP	aliases are not levels, with the reason
app/app.css	593	392	KEEP	the only breakpoint in the type scale; keeps levels single-owner
app/app.css	606	982	KEEP	why the space scale is not in the colour blocks
app/app.css	624	131	KEEP	prohibition: nothing in the design uses a value off this scale
app/app.css	636	143	KEEP	the track is the measure, not a max-width on a child
app/app.css	640	400	KEEP	control dimensions are not spacing; 2.5.5 AAA is not the AA floor
app/app.css	654	119	KEEP	64rem is the header's breakpoint, so it introduces no new number
app/app.css	671	489	KEEP	durations named by job; why a number name invites reuse
app/app.css	682	255	KEEP	measured: under about 100ms reads as simultaneous; not 0
app/app.css	687	155	KEEP	measured band, 120 to 200ms, for a noticed state change
app/app.css	690	360	KEEP	measured fade band; prohibition, it is NOT the scroll reveal
app/app.css	697	115	KEEP	why a whole-document transition gets its own duration
app/app.css	706	1554	KEEP	every hex is COPIED from the spec, never derived here
app/app.css	740	45	CUT	bare palette label
app/app.css	746	160	KEEP	why the heading token exists in light mode at all
app/app.css	750	802	KEEP	deliberately below the floor; measured 2.46:1 with the exemption
app/app.css	767	62	KEEP	prohibition: brand never signals a state
app/app.css	778	883	KEEP	ratified v4 chrome; why five role tokens instead of a hex per rule
app/app.css	798	1077	KEEP	why the scrim is opaque: the backdrop would otherwise be the picture
app/app.css	819	22	CUT	bare palette label
app/app.css	828	28	CUT	bare palette label
app/app.css	836	20	CUT	bare palette label
app/app.css	844	217	KEEP	prohibition: decorative only, never signals a state
app/app.css	849	996	KEEP	destructive against danger; the distinction the library makes
app/app.css	869	45	KEEP	states which text colour goes on the highlight
