sheet	line	bytes	tag	reason
app/admin.css	1	2094	WHY	admin bundle and cascade whys kept; split date and bundle sizes are history
app/app.css	3	1417	WHY	CSP and cache whys kept; self-hosting history and weight census moved; restored after Grok review 89352d6
app/app.css	23	985	NUMBER	CLS figures are a dated measurement with no gate; the why stays
app/app.css	49	465	HISTORY	ruling date and the declined subsetting; its why is carried by the two blocks above
app/app.css	67	1463	NUMBER	metric table is a dated measurement; the declarations own the shipped values; restored after Grok review 89352d6
app/app.css	102	843	WHY	serif scope, namespacing and swap whys kept
app/app.css	126	1828	NUMBER	metric table and CLS arms are a dated measurement; the Georgia-bold trap stays
app/app.css	163	434	WHY	the at-rule trap kept; Tailwind history moved
app/app.css	170	1576	WHY	one-owner and order whys kept; the old-to-new remap table is history
app/app.css	194	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	195	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	196	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	197	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	198	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	199	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	200	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	201	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	202	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	203	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	204	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	205	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	206	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	207	17	WHY	sync annotation read by build-inputs.mjs; kept
app/app.css	210	666	WHY	ruling 96 z-index trap kept; the handoff's rejected numbering is history
app/app.css	223	233	WHY	at most three lines; kept as written
app/app.css	228	170	WHY	at most three lines; kept as written
app/app.css	232	287	WHY	trimmed to three lines
app/app.css	239	246	WHY	one owner and gate reason kept; 'agreed by chance' is history
app/app.css	246	1418	WHY	the shorthand ban and the weight and optical-size whys kept (Grok's restored points); restored after Grok review 89352d6
app/app.css	268	189	WHY	at most three lines; kept as written
app/app.css	283	140	WHY	at most three lines; kept as written
app/app.css	291	207	WHY	at most three lines; kept as written
app/app.css	299	122	WHY	at most three lines; kept as written
app/app.css	307	210	WHY	at most three lines; kept as written
app/app.css	316	103	WHY	at most three lines; kept as written
app/app.css	324	70	WHY	at most three lines; kept as written
app/app.css	331	253	WHY	trimmed to three lines
app/app.css	339	509	WHY	reader list and no-reader refusal kept; step 2 and step 6b history moved
app/app.css	349	144	WHY	at most three lines; kept as written
app/app.css	359	328	WHY	one-breakpoint rule kept
app/app.css	371	606	WHY	gate reason kept; handoff history moved
app/app.css	381	131	WHY	at most three lines; kept as written
